,Plant name,Plant state abbreviation,plant_annual_generation,state_annual_generation,perc_gen_state
32,"20333 Normandie PV, LLC",CA,5932,196943237,0.0030120353917001985
33,205 Sturbridge A,MA,3819,19429320,0.019655860318323032
34,2081 Terzian Solar Project,CA,2840,196943237,0.00144203987060495
35,2097 Helton Solar Project,CA,3737,196943237,0.0018975010550882738
36,2127 Harris Solar Project,CA,2474,196943237,0.0012561995210833262
37,"231 Dixon 74 Solar I, LLC",NC,3976,129720625,0.003065048445457305
38,"232 Long Branch 29 Solar I, LLC",NC,2477,129720625,0.0019094881789229739
39,24 Applegate Solar LLC,NJ,1281,61421718,0.002085581520204303
40,"25 Ashdown Road Solar, LLC",NY,5934,123769368,0.004794401147786422
41,2555 E Olympic Bl,CA,0,196943237,0.0
42,"265 Pleasant Solar NG, LLC",MA,1353,19429320,0.006963702280882707
43,2662 Freeport Solar 1 CSG,IL,3811,181296239,0.0021020844232736676
44,276 Federal Rd(CSG),MA,1,19429320,5.146860518021217e-06
45,28 Livermore Hill Road Solar,MA,7377,19429320,0.03796839004144252
46,299 Farm to Market Rd Hybrid(CSG),MA,1,19429320,5.146860518021217e-06
47,2W Permian Solar Project Hybrid,TX,597559,481398138,0.12412989432875621
48,3 MW LLC,CO,6450,56832513,0.011349137420687345
49,301 Chestnut Solar NG,MA,2360,19429320,0.012146590822530072
50,315 Vinson Road,NC,4451,129720625,0.003431219977547904
51,"350 Clark Solar, NG, LLC",NJ,1864,61421718,0.0030347571847469325
52,4 Applegate Solar LLC,NJ,1990,61421718,0.003239896350668667
53,"433 Purchase Solar NG, LLC",MA,3816,19429320,0.019640419736768968
54,435A Bergen Avenue,NJ,2091,61421718,0.0034043333011297403
55,45 Mile Hydroelectric Project,OR,4188,61016793,0.006863684231978564
56,456 Lower,NY,0,123769368,0.0
57,46 Meadowlands Parkway,NJ,2454,61421718,0.003995329469618548
58,4710 Hosting,MN,44,59157452,7.437778084154131e-05
59,48th Street Peaking Station,MI,59962,115298866,0.05200571530339249
60,4Oaks,NC,8398,129720625,0.006473912687361782
61,500 Virginia Solar,PA,1303,241279453,0.0005400376964548241
62,500MW CC,NY,2751576,123769368,2.223147814732317
63,510 Carnegie Center,NJ,1946,61421718,0.0031682604514579027
64,510 REPP One,NC,1469,129720625,0.0011324336434549247
65,5601 Westside CDG,NJ,347,61421718,0.0005649467505939838
66,580 River Solar,MA,4507,19429320,0.023196900354721627
67,59 Federal Rd(CSG),MA,1,19429320,5.146860518021217e-06
68,59th Street,NY,978,123769368,0.0007901793600497339
69,601 Doremus CDG,NJ,525,61421718,0.0008547465246738946
70,6140 Route 209 - North,NY,6086,123769368,0.00491721020988004
71,"631-56 Airport Owner, LLC",MA,54,19429320,0.0002779304679731457
72,651 Chase Solar NG,MA,3942,19429320,0.02028892416203964
73,6685 Santa Barbara Ct,MD,1663,38166683,0.004357203375519953
74,701 Carnegie Center,NJ,1531,61421718,0.0024926036748109197
75,71 Charlotte Furnace Rd Hybrid(CSG),MA,0,19429320,0.0
76,7185 13th Pl. NW,DC,0,184478,0.0
77,7448 Candlewood Road,MD,2460,38166683,0.0064454120888629484
78,74th Street,NY,786,123769368,0.0006350521237209518
79,77 Farm to Market Rd Hybrid(CSG),MA,0,19429320,0.0
80,77 Metro Way,NJ,1491,61421718,0.0024274801300738606
81,85 A,CA,53596,196943237,0.027213932713008065
82,85 B,CA,70906,196943237,0.0360032672764488
83,98th Street Battery Storage Station,NY,80,123769368,6.463634847032587e-05
84,99 Islands,SC,61188,98113889,0.06236425915193311
85,A B Brown,IN,2751582,94126593,2.923278015597569
86,A G Wishon,CA,19184,196943237,0.009740877773832873
87,A L Pierce,CT,5104,44079902,0.011578973111147117
88,A Street 1,RI,2000,9314548,0.021471788003024943
89,A Street 2,RI,2894,9314548,0.031069677240377094
90,A.J. Mihm Generating Station,MI,237477,115298866,0.20596646631372764
91,ABC Coke,AL,116,142731779,8.127131940252773e-05
92,ABD Farms,NC,9433,129720625,0.007271781183601297
93,ABEC #2 dba West-Star Dairy,CA,7565,196943237,0.003841208317298044
94,ABEC #3 dba Lakeview Dairy,CA,6906,196943237,0.003506594136055558
95,ABEC #4 dba CE&S Dairy,CA,7901,196943237,0.004011815851285109
96,ABEC Bidart-Old River LLC,CA,13126,196943237,0.006664864556887525
97,"AC Criminal Courts Complex SPE2, LLC",NJ,1538,61421718,0.002504000295139905
98,AC Landfill Energy LLC,NJ,7660,61421718,0.01247115881714673
99,AC Power,NJ,2119,61421718,0.0034499197824456817
100,ACCC Mays Landing,NJ,2018,61421718,0.0032854828319846085
101,ACCP NJ 1,NJ,1833,61421718,0.0029842864375757123
102,ACE-Stanton A PV,FL,8746,246185183,0.003552610231623891
103,ACE-Stanton PV,FL,10337,246185183,0.004198871708700681
104,ACM - Midtown Thermal,NJ,46017,61421718,0.07491975395413068
105,ACUA,NJ,-159,61421718,-0.0002588660903298081
106,ADA Carbon Solutions Red River,LA,113845,96954180,0.11742144588299339
107,ADS Renewable Energy-Wolf Creek LLC,GA,20534,124199660,0.01653305653171675
108,AEC- Santa Rosa Solar,CA,0,196943237,0.0
109,AEP Bluffton NaS,OH,-203,125609074,-0.00016161252808853603
110,AEP Churubusco NaS,IN,0,94126593,0.0
111,AEP Jacksonville Solar Project,FL,14267,246185183,0.00579523098268672
112,AEP Milton NaS,WV,0,65836039,0.0
113,AES Alamitos Energy Center,CA,2930114,196943237,1.4877962019076592
114,AES Alamitos LLC,CA,536845,196943237,0.2725886951883501
115,AES Belleville Solar LLC,IL,0,181296239,0.0
116,"AES ES ALAMITOS, LLC",CA,-17622,196943237,-0.00894775584500015
117,AES ES GILBERT,AZ,-2199,108500902,-0.002026711261810524
118,"AES Griggs Solar, LLC",IL,3860,181296239,0.0021291120109777897
119,AES Hawaii,HI,1107052,9180551,12.058666195525737
120,AES Huntington Beach Energy Project,CA,3841745,196943237,1.950686430527188
121,AES Huntington Beach LLC,CA,83905,196943237,0.04260364624757336
122,AES ILUMINA,PR,37864,18578920,0.2038008667888123
123,"AES Kekaha Solar, LLC Hybrid",HI,22008,9180551,0.2397241734183493
124,AES Lawai Solar Hybrid,HI,38993,9180551,0.424734855239081
125,AES Petersburg,IN,8305555,94126593,8.823813478513983
126,AES Puerto Rico,PR,3257268,18578920,17.53206322003647
127,AES Redondo Beach LLC,CA,237432,196943237,0.12055859526671636
128,AES Tonawanda Solar LLC,NY,3154,123769368,0.0025482880384425977
129,AES Warrior Run Cogeneration Facility,MD,1251759,38166683,3.2797165003833317
130,AES Warrior Run Energy Storage Project,MD,-2127,38166683,-0.005572923379272964
131,AFA Solar Farm,CO,11577,56832513,0.020370382002991842
132,AGA TAG Solar III LLC,SC,3936,98113889,0.00401166444436832
133,AGA TAG Solar IV LLC,NC,3936,129720625,0.003034212948018097
134,AGT000 Stevens Creek Fuel Cell,CA,16897,196943237,0.008579629469581634
135,AGT001 Centerville Fuel Cell,DE,10218,4305117,0.23734546587235605
136,AIS Solar Project,MA,6049,19429320,0.031133359273510346
137,AL Sandersville LLC,GA,130544,124199660,0.10510817823494846
138,ALDI DC 2,CT,1463,44079902,0.0033189728960831173
139,AM Best Farm,NC,8752,129720625,0.006746806839698775
140,AMEA Peaking,AL,51776,142731779,0.03627503304642479
141,AMP Napoleon Solar Facility,OH,4937,125609074,0.0039304485279463165
142,ANAD Solar Array,AL,11491,142731779,0.008050764924607294
143,ANP Bellingham Energy Project,MA,2466446,19429320,12.69445353723136
144,ANP Blackstone Energy Project,MA,2303286,19429320,11.854691775111018
145,"ANSON Solar Center, LLC",TX,366971,481398138,0.07623024914982118
146,"AOC, Capitol Power Plant",DC,54692,184478,29.646895564782795
147,"AP North Lake I, LP",CA,32265,196943237,0.016382893107418563
148,APG Combined Heat and Power Plant,MD,51,38166683,0.00013362439696423185
149,APG New Chesapeake,MD,4226,38166683,0.01107248434452635
150,APG Old Bayside,MD,3207,38166683,0.008402616491456698
151,APP Prune A-D,CA,14932,196943237,0.0075818800520679975
152,ASTI,CA,1545,196943237,0.0007844900000298056
153,AT&T - Gardena,CA,7574,196943237,0.0038457781619584126
154,AT&T - Hawthorne,CA,6437,196943237,0.003268454453198614
155,AT&T - Hayward,CA,7191,196943237,0.0036513058836338715
156,AT&T - Redwood City,CA,6654,196943237,0.0033786384855652592
157,AT&T - San Diego Trade Street,CA,5809,196943237,0.0029495808480085053
158,AT&T Anaheim,CA,8688,196943237,0.004411423378808382
159,AT&T Holger,CA,8349,196943237,0.004239292563267862
160,AT&T Middletown,NJ,14636,61421718,0.023828705019289756
161,AT&T San Diego,CA,5500,196943237,0.002792682848002544
162,ATOOD Solar III LLC,SC,3721,98113889,0.0037925313509894606
163,"ATOOD Solar IV, LLC",NC,8296,129720625,0.006395282168891801
164,ATT  Kelvin,CA,7160,196943237,0.0036355653075814936
165,ATT Jericho,NY,7797,123769368,0.006299620112789135
166,ATT North Watney,CA,8686,196943237,0.004410407857772745
167,ATT Van Nyus,CA,5788,196943237,0.0029389178771343136
168,ATT Ventura Blvd,CA,6253,196943237,0.0031750265179199834
169,AV Solar Ranch One,CA,593687,196943237,0.3014508185421975
170,AVS Lancaster 1,CA,8416,196943237,0.004273312517961711
171,AZ State University - Tempe Campus Solar,AZ,3541,108500902,0.0032635673388226767
172,Abbot Solar,SC,3945,98113889,0.004020837457579528
173,Abbott TP 3,TX,7276,481398138,0.0015114308564276168
174,Aberdeen CT,SD,51403,17322385,0.2967432025093542
175,Abiquiu Dam,NM,19693,35073576,0.056147682232344946
176,Absegami,NJ,1675,61421718,0.0027270484358643305
177,Acadia Energy Center,LA,4244316,96954180,4.3776513813019715
178,Ace Solar,SC,2085,98113889,0.0021250813939298644
179,Achilles Solar,NC,10076,129720625,0.00776746180493657
180,"Acme Solar, LLC",NC,9313,129720625,0.007179274691283672
181,Acorn I Energy Storage LLC,CA,0,196943237,0.0
182,Acton,ME,11,10900855,0.00010090951581320914
183,Acton Solar Landfill,MA,1808,19429320,0.00930552381658236
184,Acturus Community Solar,MN,1883,59157452,0.0031830309391959613
185,Actus Lend Lease DMAFB,AZ,3991,108500902,0.003678310434691133
186,Acushnet AD Makepeace,MA,6045,19429320,0.03111277183143826
187,Acushnet Ball Plant 2,MA,0,19429320,0.0
188,Acushnet Hawes Reed Road,MA,1751,19429320,0.009012152767055151
189,Acushnet- High Hill,MA,4234,19429320,0.021791807433301832
190,Acushnet-Braley Road 1,MA,2517,19429320,0.012954647923859404
191,Ada Cogeneration LP,MI,193485,115298866,0.16781171117502577
192,Ada Dam,MI,3451,115298866,0.002993091016177037
193,Adair Wind Farm,IA,494430,67198530,0.735775023650071
194,Adams,SC,474,98113889,0.0004831120291236239
195,Adams Ave MS and HS,NJ,4003,61421718,0.006517238739561143
196,Adams Community Solar Garden III LLC,CO,1310,56832513,0.0023050186079225463
197,Adams Community Solar Garden LLC,CO,1995,56832513,0.003510314597561435
198,Adams Farm Solar,MA,3748,19429320,0.019290433221543522
199,Adams Nielson Solar,WA,43424,110808277,0.039188408281088966
200,Adams Solar,CT,1388,44079902,0.003148827327247687
201,Adams Solar Center,OR,21906,61016793,0.03590159187815722
202,Adams Wind,IA,392170,67198530,0.5835990757535916
203,Adams Wind Farm,MN,40775,59157452,0.06892622758667835
204,Adams Wind Generations LLC,MN,53245,59157452,0.09000556683881517
205,"Adapture CA2, LLC",CA,3223,196943237,0.0016365121489294908
206,"Adelanto Solar II, LLC",CA,17315,196943237,0.008791873366029827
207,Adelanto Solar Project,CA,8715,196943237,0.0044251329127894855
208,"Adelanto Solar, LLC",CA,56248,196943237,0.02856051360626311
209,Adera Solar,CA,27107,196943237,0.013763864356509994
210,Adirondack A+B Community Solar Garden,MA,8497,19429320,0.043732873821626286
211,Adirondack Solar,NY,1644,123769368,0.0013282769610651968
212,Adkins Energy LLC,IL,39185,181296239,0.021613796411959763
213,Adobe San Jose,CA,0,196943237,0.0
214,Adobe Solar,CA,46875,196943237,0.023801274272748956
215,Adrian,MN,17,59157452,2.873686987059551e-05
216,Adrian Energy Associates LLC,MI,11172,115298866,0.009689600936751624
217,"Advance Stores Company, Inc",CT,1136,44079902,0.0025771382159606436
